FeatureID	Kingdom   Phylum  Class   Order   Family  Genus   Species
025c952db7b813c21ea3772b58dcce00	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Amoebophilaceae	D_5__uncultured	D_6__uncultured
025dbc4737d3d93462a1b1a1f1fb2450	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Planctomycetales	D_4__Rubinisphaeraceae	D_5__Planctomicrobium	D_6__uncultured
025fc953ea63c32b4752abaa32eb3cd7	D_0__Bacteria	D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Lachnospiraceae	D_5__Epulopiscium	D_6__uncultured
0263efa83140c225d71ab01778fd9656	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Gammaproteobacteria    unassigned      unassigned      unassigned
026700c780f405c836245aaba381c686	D_0__Bacteria	D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Peptococcaceae	D_5__uncultured	D_6__metagenome
026e5af732d45ae15483a78523aa89fd	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Apicomplexa	D_6__Eugregarinorida	D_7__Lankesteria	D_8__Gregarinidae
02766b9c7833a1e947072f8fbd43ce1a	D_0__Bacteria	D_1__Proteobacteria    unassigned      unassigned      unassigned      unassigned	unassigned
027b8f908eb1ec8ab88fb1ff4b95b91d	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__Eimeria    unassigned      unassigned
027cb355299ce437c0957cc4c8e968bc	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Nostocales	D_4__Microcystaceae	D_5__SU2   unassigned
02803bcf91dcd9b4277f28369350e453	D_0__Bacteria	D_1__Verrucomicrobia	D_2__Verrucomicrobiae	D_3__Chthoniobacterales	D_4__Chthoniobacteraceae	D_5__uncultured   unassigned
0289102dcb0cff60b3e3809f1bd0d4d2	D_0__Bacteria    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
028da14220add17fb1a1a9e7449ce412	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Pseudomonadales	D_4__Pseudomonadaceae	D_5__Thiopseudomonas   unassigned
02905ce63eb9976d51a73d485affb52f	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Pir4   unassigned
02942e75d12256a1d30de23b7c06435c	D_0__Bacteria	D_1__Actinobacteria	D_2__Rubrobacteria	D_3__Rubrobacterales	D_4__Rubrobacteriaceae	D_5__Rubrobacter   unassigned
029f94838526bc7423416b0c29f2aa34	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rickettsiales	D_4__Mitochondria    unassigned      unassigned
02aa71091efeb84cf1b4b070ac3614f7	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__Dermonema    unassigned      unassigned
02ac9d0cb5e002d8f50c9eba71581647	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria    unassigned      unassigned      unassigned      unassigned
02b153581e2e6358162f355411596cbf	D_0__Eukaryota    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
02b309c0589bbf3c5eab761cd18ce703	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Vibrionales	D_4__Vibrionaceae	D_5__Photobacterium   unassigned
02b36e4b3f5c0ddb05263b2e53566da2	D_0__Bacteria	D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Clostridiaceae    unassigned      unassigned
02b6b73d62f8249f7817f4947c4bdedd	D_0__Bacteria    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
02bb14c3651b4e5f9b811f6e4462609e	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Oligoflexales	D_4__0319-6G20	D_5__uncultured   unassigned
02c135b59a27a1d14e30ad141713f895	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Nostocales	D_4__Xenococcaceae	D_5__Xenococcus   unassigned
02cc47e6c004b6c1f701fdf69daa7378	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Cyclobacteriaceae	D_5__uncultured	D_6__uncultured
02d0fccefe3e4cc50e30c9e9f0166981	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Nostocales	D_4__Phormidiaceae    unassigned      unassigned
02d1569536acc0e6996170d1833f102c	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Eurycoccales	D_4__Eurycoccales    unassigned      unassigned
02d4e683405e8ebf5a1b03330fb78ab1	D_0__Bacteria	D_1__Chlamydiae	D_2__Chlamydiae	D_3__Chlamydiales	D_4__cvE6	D_5__Chlamydiales   unassigned
02e1e63ad7041c070ac7e77291db4a5b	D_0__Bacteria	D_1__Firmicutes	D_2__Clostridia	D_3__Clostridiales	D_4__Clostridiaceae    unassigned      unassigned
02e32600bd183701d316aa583a1b0eb2	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Sphingomonadales	D_4__Sphingomonadaceae    unassigned      unassigned
02ecfabe344d8ed96afb5e370ff9590a	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae    unassigned      unassigned
02fb97d7ccb57b4b5c6a229b88fd6857	D_0__Bacteria	D_1__Acidobacteria	D_2__Thermoanaerobaculia	D_3__Thermoanaerobaculales	D_4__Thermoanaerobaculaceae	D_5__Subgroup   unassigned
02fb9aad24fc0a26aa0b7fdeb8df4111	D_0__Bacteria	D_1__Proteobacteria	D_2__Deltaproteobacteria	D_3__Bdellovibrionales	D_4__Bdellovibrionaceae	D_5__Bdellovibrio	D_6__uncultured
030269bd9c0d9145f7feace9aadb7ae2	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Cyclobacteriaceae	D_5__Persicobacter	D_6__Persicobacter
03090c3a27cbd0e4701f88149faa1c6a	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cellvibrionales	D_4__Halieaceae	D_5__OM60(NOR5)   unassigned
030e2f9479b9bf22e44e42f30de046cb	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Nostocales	D_4__Microcystaceae	D_5__Cyanothece   unassigned
030f042078503f6006b1693120136034	D_0__Eukaryota    unassigned      unassigned      unassigned      unassigned	unassigned	unassigned
